ONCELIK_ID  |    UCAK_ID   |    TALEP SAATI    |   INIS SAATI  |   GECIKME SURESI  |   KALKIS SAATI   | 

	1		11		 1		 1 		0 		2

	1		12		 1		 2 		1 		3

	3		17		 1		 3 		2 		4

	2		23		 2		 6 		0 		7

	2		27		 2		 7 		1 		8

	4		28		 3		 8 		1 		9

	3		24		 8		 9 		1 		10

	2		13		 9		 10 		1 		11

	3		4		 10		 11 		1 		12

	2		6		 10		 12 		2 		13

	2		3		 11		 13 		2 		14

	2		2		 13		 14 		1 		15

	4		10		 13		 15 		2 		16

	3		8		 14		 18 		0 		19

	3		14		 16		 20 		0 		21

	1		25		 16		 21 		1 		22

	4		9		 17		 22 		1 		23

	3		21		 19		 23 		0 		24

	2		16		 20		 24 		0 		0
